date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:51	67922/67922	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:18:34%20GMT	https://theme-land.com/sApp/demo/index-2.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/index-2.html	(from )
11:56:52	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Apr%202020%2004:56:51%20GMT	https://theme-land.com/robots.txt		(from )
11:56:53	3583/3583	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202020%2013:42:08%20GMT	https://theme-land.com/sApp/demo/assets/img/favicon.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/favicon.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:56:54	45886/45886	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Feb%202020%2011:53:28%20GMT	https://theme-land.com/sApp/demo/assets/css/style.css	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/css/style.css	(from https://theme-land.com/sApp/demo/index-2.html)
11:56:55	12158/12158	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202020%2012:02:46%20GMT	https://theme-land.com/sApp/demo/assets/css/responsive.css	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/css/responsive.css	(from https://theme-land.com/sApp/demo/index-2.html)
11:56:56	80055/80055	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:13:08%20GMT	https://theme-land.com/sApp/demo/index.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/index.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:56:57	3163/3163	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202020%2010:21:28%20GMT	https://theme-land.com/sApp/demo/assets/img/logo/logo.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/logo/logo.png	(from https://theme-land.com/sApp/demo/index-2.html)
11:56:58	56757/56757	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:14:42%20GMT	https://theme-land.com/sApp/demo/index-3.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/index-3.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:56:59	66788/66788	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:14:52%20GMT	https://theme-land.com/sApp/demo/index-4.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/index-4.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:00	77030/77030	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:15:04%20GMT	https://theme-land.com/sApp/demo/index-5.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/index-5.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:01	79985/79985	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:15:14%20GMT	https://theme-land.com/sApp/demo/index-6.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/index-6.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:02	33507/33507	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:17:24%20GMT	https://theme-land.com/sApp/demo/pricing.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/pricing.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:03	13073/13073	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:16:38%20GMT	https://theme-land.com/sApp/demo/download.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/download.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:04	13129/13129	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:17:16%20GMT	https://theme-land.com/sApp/demo/newsletter.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/newsletter.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:05	12896/12896	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:17:52%20GMT	https://theme-land.com/sApp/demo/thank-you.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/thank-you.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:06	13240/13240	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:16:22%20GMT	https://theme-land.com/sApp/demo/coming-soon.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/coming-soon.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:07	3442/3442	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2010:03:14%20GMT	https://theme-land.com/sApp/demo/404.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/404.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:08	24231/24231	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:16:12%20GMT	https://theme-land.com/sApp/demo/blog-two-column.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/blog-two-column.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:09	27671/27671	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:16:04%20GMT	https://theme-land.com/sApp/demo/blog-three-column.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/blog-three-column.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:10	35687/35687	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:15:46%20GMT	https://theme-land.com/sApp/demo/blog-left-sidebar.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/blog-left-sidebar.html	(from https://theme-land.com/sApp/demo/index-2.html)
11:57:11	35701/35701	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2012:15:54%20GMT	https://theme-land.com/sApp/demo/blog-right-sidebar.html	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/blog-right-sidebar.html	(from https://theme-land.com/sApp/demo/index-2.html)
